PID,Gist_Hindi_by_Sant_Singh
P0002L08,"वह अकाल पुरुष (निरंकार) अपने सत्य नाम के साथ स्वयं भी सत्य है, उस (सत्य एवं सत्य नाम वाले) को प्रेम करने वाले ही अनंत कहते हैं।"
P0002L09,"(समस्त देव, दैत्य, मनुष्य तथा पशु इत्यादि) जीव कहते रहते हैं, माँगते रहते हैं, (भौतिक पदार्थ) दे दे करते हैं, वह दाता (परमात्मा) सभी को देता ही रहता है।"
P0002L10,अब प्रश्न उत्पन्न होते हैं कि (जैसे अन्य राजा - महाराजाओं के समक्ष कुछ भेंट लेकर जाते हैं वैसे ही) उस परिपूर्ण परमात्मा के समक्ष क्या भेंट ले जाई जाए कि उसका द्वार सरलता से दिखाई दे जाए ?
P0002L11,जुबां से उसका गुणगान किस प्रकार का करें कि सुनकर वह अनंत शक्ति (ईश्वर) हमें प्रेम- प्रशाद प्रदान करे ?
P0002L12,"इनका उत्तर गुरु महाराज स्पष्ट करते हैं कि प्रभात काल (अमृत वेला) में (जिस समय व्यक्ति का मन आम तौर पर सांसारिक उलझनों से विरक्त होता है) उस सत्य नाम वाले अकाल पुरुष का नाम-स्मरण करें और उसकी महिमा का गान करें, तभी उसका प्रेम प्राप्त कर सकते हैं।"
P0002L13,"(इससे यदि उसकी कृपा हो जाए तो) गुरु जी बताते हैं कि कर्म मात्र से जीव को यह शरीर रूपी कपड़ा अर्थात् मानव जन्म प्राप्त होता है, इससे मुक्ति नहीं मिलती, मोक्ष प्राप्त करने के लिए उसकी कृपामयी दृष्टि चाहिए।"
P0002L14,हे नानक ! इस प्रकार का बोध ग्रहण करो कि वह सत्य स्वरूप निरंकार ही सर्वस्व है इससे मनुष्य की समस्त शंकाएँ मिट जाएँगी॥ ४ ॥
P0002L15,"वह परमात्मा किसी के द्वारा मूर्त रूप में स्थापित नहीं किया जा सकता, न ही उसे बनाया जा सकता है।"
P0002L16,वह मायातीत होकर स्वयं से ही प्रकाशमान है।
P0002L17,जिस मानव ने उस ईश्वर का नाम-स्मरण किया है उसी ने उसके दरबार में सम्मान प्राप्त किया है।
P0002L18,श्री गुरु नानक देव जी का कथन है कि उस गुणों के भण्डार निरंकार की बंदगी करनी चाहिए।
P0002L19,"उसका गुणगान करते हुए, प्रशंसा सुनते हुए अपने ह्रदय में उसके प्रति श्रद्धा धारण करें।"
P0002L20,ऐसा करने से दुखों का नाश होकर घर में सुखों का वास हो जाता है।
P0002L21,"गुरु के मुँह से निकला हुआ शब्द ही वेदों का ज्ञान है, वही उपदेश रूपी ज्ञान सभी जगह विद्यमान है।"
P0002L22,"गुरु ही शिव, विष्णु, ब्रह्मा और माता पार्वती है, क्योंकि गुरु परम शक्ति हैं।"
P0002L23,"यदि मैं उस सर्गुण स्वरूप परमात्मा के बारे में जानता भी हूँ तो उसे कथन नहीं कर सकता, क्योंकि उसका कथन किया ही नहीं जा सकता।"
P0002L24,हे सच्चे गुरु ! मुझे सिर्फ यही समझा दो कि
P0002L25,समस्त जीवों का जो एकमात्र दाता है मैं कभी भी उसे भूल न पाऊं ॥ ५॥
P0002L26,"तीर्थ-स्नान भी तभी किया जा सकता है यदि ऐसा करना उसे स्वीकार हो, उस अकाल पुरुष की इच्छा के बिना में तीर्थ-स्नान करके क्या करूँगा, क्योंकि फिर तो यह सब अर्थहीन ही होगा।"
P0002L27,"उस रचयिता की पैदा की हुई जितनी भी सृष्टि मैं देखता हूँ, उसमें कर्मों के बिना न कोई जीव कुछ प्राप्त करता है और न ही उसे कुछ मिलता है।"
P0002L28,"यदि सच्चे गुरु का मात्र एक ज्ञान ग्रहण कर लिया जाए तो मानव जीव की बुद्धि रत्न, जवाहर व माणिक्य जैसे पदार्थों से परिपूर्ण हो जाए।"
P0002L29,हे गुरु जी ! मुझे सिर्फ यही बोध करवा दो कि
P0002L30,सृष्टि के समस्त प्राणियों को देने वाला निरंकार मुझ से विस्मृत न हो ॥ ६ ॥
P0002L31,"यदि किसी मनुष्य अथवा योगी की योग-साधना करके चार युगों से दस गुणा अधिक, अर्थात्-चालीस युगों की आयु हो जाए।"
P0002L32,"नवखण्डों (पौराणिक धर्म-ग्रन्थों में वर्णित इलावृत, किंपुरुष, भद्र, भारत, केतुमाल, हरि, हिरण्य, रम्य और कुश) में उसकी कीर्ति हो, सभी उसके सम्मान में साथ चलें।"
P0002L33,संसार में प्रख्यात पुरुष बनकर अपनी शोभा का गान करवाता रहे।
P0002L34,यदि अकाल पुरुष की कृपादृष्टि में वह मनुष्य नहीं आया तो किसी ने भी उसकी क्षेम नहीं पूछनी।
P0002L35,"इतने वैभव तथा मान-सम्मान होने के बावजूद भी ऐसा मनुष्य परमात्मा के समक्ष कीटों मे क्षुद्र कीट अर्थात् अत्यंत अधम समझा जाता है, दोषयुक्त मनुष्य भी उसे दोषी समझेंगे।"
P0002L36,गुरु नानक जी का कथन है कि वह असीम-शक्ति निरंकार गुणहीन मनुष्यों को गुण प्रदान करता है और गुणी मनुष्यों को अतिरिक्त गुणवान बनाता है।
P0002L37,"परंतु ऐसा कोई और दिखाई नहीं देता, जो उस गुणों से परिपूर्ण परमात्मा को कोई गुण प्रदान कर सके II७ ॥"
P0002L38,"परमात्मा का नाम सुनने, अर्थात्-उसकी कीर्ति में अपने हृदय को लगाने के कारण ही सिद्ध, पीर, देव तथा नाथ इत्यादि को परम-पद की प्राप्ति हुई है।"
P0002L39,"नाम सुनने से ही पृथ्वी, उसको धारण करने वाले वृषभ (पौराणिक धर्न ग्रन्थों के अनुसार जो धौला बैल इस भू-लोक को अपने सीगों पर टिकाए हुए है) तथा आकाश के स्थायित्व की शक्ति का ज्ञान प्राप्त हो जाता है।"
P0002L40,"नाम सुनने से शाल्मलि, क्रौंच, जम्बू, पलक आदि सप्त द्वीपः भूः भवः, स्वः आदि चौदह लोक तथा अतल, वितल, सुतल आदि सातों पातालों की अन्तर्यामता प्राप्त होती है।"
P0002L41,नाम सुनने वाले को काल स्पर्श भी नहीं कर सकता।
P0002L42,"हे नानक ! प्रभु के भक्त में सदैव आनंद का प्रकाश रहता है,"
P0002L43,परमात्मा का नाम सुनने से समस्त दुखों व दुष्कर्मो का नाश होता है॥ ८॥
P0002L44,"परमात्मा का नाम सुनने से ही शिव, ब्रह्मा तथा इन्द्र आदि उत्तम पदवी को प्राप्त कर सके हैं।"
P0002L45,मंदे लोग यानी कि बुरे कर्म करने वाले मनुष्य भी नाम को श्रवण करने मात्र से प्रशंसा के लायक हो जाते हैं।
P0002L46,"नाम के साथ जुड़ने से योगादि तथा शरीर के विशुद्ध, मणिपूरक, मूलाधार आदि षट्-चक्र के रहस्य का बोध हो जाता है।"
P0002L47,"नाम सुनने से षट्-शास्त्र, (सांख्य, योग, न्याय आदि), सत्ताईस स्मृतियों (मनु, याज्ञवल्कय स्मृति आदि) तथा चारों वेदों का ज्ञान उपलब्ध होता है।"
P0002L48,हे नानक ! संत जनों के हृदय में सदैव आनंद का प्रकाश रहता है।
P0003L01,परमात्मा का नाम सुनने से समस्त दुखों व दुष्कर्मो का नाश होता हैII ९ II
P0003L02,"नाम सुनने से मनुष्य को सत्य, संतोष व ज्ञान जैसे मूल धमों की प्राप्ति होती है।"
P0003L03,नाम को सुनने मात्र से समस्त तीर्थों में श्रेष्ठ अठसठ तीथों के स्नान का फल प्राप्त हो जाता है।
P0003L04,निरंकार के नाम को सुनने के बाद बार-बार रसना पर लाने वाले मनुष्य को उसके दरबार में सम्मान प्राप्त होता है।
P0003L05,"नाम सुनने से परमात्मा में लीनता सरलता से हो जाती है, क्योंकि इससे आत्मिक शुद्धि होकर ज्ञान प्राप्त होता है।"
P0003L06,हे नानक ! प्रभु के भक्तों को सदैव आत्मिक आनंद का प्रकाश रहता है।
P0003L07,परमात्मा का नाम सुनने से समस्त दुखों व दुष्कर्मो का नाश होता है॥ १०॥
P0003L08,नाम सुनने से गुणों के सागर श्री हरि में लीन हुआ जा सकता है।
P0003L09,"नाम-श्रवण के प्रभाव से ही शेख, पीर और बादशाह अपने पद पर शोभायमान हैं।"
P0003L10,अज्ञानी मनुष्य प्रभु-भक्ति का मार्ग नाम-श्रवण करने से ही प्राप्त कर सकते हैं।
P0003L11,इस भव-सागर की अथाह गहराई को जान पाना भी नाम-श्रवण की शक्ति से सम्भव हो सकता है।
P0003L12,हे नानक ! सद्-पुरुषों के अंतर में सदैव आनंद का प्रकाश रहता है।
P0003L13,परमात्मा का नाम सुनने से समस्त दुखों व दुष्कर्मो का नाश होता है।॥ ११॥
P0003L14,उस अकाल पुरुष का नाम सुनने के पश्चात उसे मानने वाले अर्थात् उसे अपने हृदय में बसाने वाले मनुष्य की अवस्था कथन नहीं की जा सकती।
P0003L15,"जो भी उसकी अवस्था का बखान करता है तो उसे अंत में पछताना पड़ता है क्योंकि यह सच कर लेना सरल नहीं है, ऐसी कोई रसना नहीं जो नाम से प्राप्त होने वाले आनन्द का रहस्योद्घाटन कर सके।"
P0003L16,"ऐसी अवस्था को यदि लिखा भी जाए तो इसके लिए न कागज़ है, न कलम और न ही लिखने वाला कोई जिज्ञासु,"
P0003L17,जो वाहिगुरु में लिवलीन होने वाले का विचार कर सकें।
P0003L18,परमात्मा का नाम सर्वश्रेष्ठ व मायातीत है।
P0003L19,यदि कोई उसे अपने हृदय में बसा कर उसका चिन्तन करेII १२ ॥
P0003L20,परमात्मा का नाम सुनकर उसका चिन्तन करने से मन और बुद्धि में उत्तम प्रीति पैदा हो जाती है।
P0003L21,चिन्तन करने से सम्पूर्ण सृष्टि का ज्ञान-बोध होता है।
P0003L22,चिन्तन करने वाला मनुष्य कभी सांसारिक कष्टों अथवा परलोक में यमों के दण्ड का भोगी नहीं होता।
P0003L23,"चिन्तनशील मनुष्य अंतकाल में यमों के साथ नरकों में नहीं जाता, बल्कि देवगणों के साथ स्वर्ग-लोक को जाता है।"
P0003L24,परमात्मा का नाम बहुत ही श्रेष्ठ एवं मायातीत है।
P0003L25,यदि कोई उसे अपने हृदय में लीन करके उसका चिन्तन करे॥ १३॥
P0003L26,निरंकार के नाम का चिन्तन करने वाले मानव जीव के मार्ग में किसी प्रकार की कोई बाधा नहीं आती।
P0003L27,चिन्तनशील मनुष्य संसार में शोभा का पात्र होता है।
P0003L28,ऐसा व्यक्ति दुविधापूर्ण मार्ग अथवा साम्प्रदायिकता को छोड़ धर्म-पथ पर चलता है।
P0003L29,चिन्तनशील का धर्म-कार्यों से सुदृढ़ सम्बन्ध होता है।
P0003L30,परमात्मा का नाम बहुत ही श्रेष्ठ एवं मायातीत है।
P0003L31,यदि कोई उसे अपने हृदय में लीन करके उसका चिन्तन करेII १४ II
P0003L32,प्रभु के नाम का चिन्तन करने वाले मनुष्य मोक्ष द्वार को प्राप्त कर लेते हैं।
P0003L33,चिन्तन करने वाले अपने समस्त परिजनों को भी उस नाम का आश्रय देते हैं।
P0003L34,चिन्तनशील गुरसिख स्वयं तो इस भव-सागर को पार करता ही है तथा अन्य संगियों को भी पार करवा देता है।
P0003L35,"चिन्तन करने वाला मानव जीव, हे नानक ! दर-दर का भिखारी नहीं बनता।"
P0003L36,परमात्मा का नाम बहुत ही श्रेष्ठ एवं मायातीत है।
P0003L37,यदि कोई उसे अपने हृदय में लीन करके उसका चिन्तन करे II १५II
P0003L38,"जिन्होंने प्रभु-नाम का चिन्तन किया है वे श्रेष्ठ संतजन निरंकार के द्वार पर स्वीकृत होते हैं, वे ही वहाँ पर प्रभुख होते हैं।"
P0003L39,ऐसे गुरुमुख प्यारे अकाल पुरुष की सभा में सम्मान पाते हैं।
P0003L40,ऐसे सद्-पुरुष राज दरबार में शोभावान होते हैं।
P0003L41,सद्गुणी मानव का ध्यान उस एक सतगुरु (निरंकार) में ही दृढ़ रहता है।
P0003L42,यदि कोई व्यक्ति उस सृजनहार के बारे में कहना चाहे अथवा उसकी रचना का लेखा करे
P0003L43,तो उस रचयिता की कुदरत का आकलन नहीं किया जा सकता।
P0003L44,निरंकार द्वारा रची गई सृष्टि धर्म रूपी वृषभ (धौला बैल) ने अपने ऊपर टिका कर रखी हुई है जो कि दया का पुत्र है (क्योंकि मन में दया-भाव होगा तभी धर्म-कार्य इस मानव जीव से सम्भव होगा।)
P0003L45,जिसे संतोष रूपी सूत्र के साथ बांधा हुआ है।
P0003L46,यदि कोई परमात्मा के इस रहस्य को जान ले तो वह सत्यनिष्ठ हो सकता है।
P0003L47,"यदि कोई ईश्वर के इस कौतुक को नहीं मानता तो उसके मन में यही शंका उत्पन्न होगी कि उस शरीर धारी बैल पर इस धरती का कितना बोझ है, वह कितना बोझ उठाने की समर्था रखता है।"
P0003L48,"क्योंकि इस धरती पर सृजनहार ने जो रचना की है वह परे से परे है, अनन्त है।"
P0003L49,फिर उस बैल का बोझ किस शक्ति पर आश्रित है।
P0003L50,"सृजनहार की इस रचना में अनेक जातियों, रंगों तथा अलग-अलग नाम से जाने जाने वाले लोग मौजूद हैं।"
P0003L51,जिनके मस्तिष्क पर परमात्मा की आज्ञा में चलने वाली कलम से कर्मो का लेखा लिखा गया है।
P0003L52,किन्तु यदि कोई जन-साधारण इस कर्म-लेख को लिखने की बात कहे तो
P0003L53,वह यह भी नहीं जान पाएगा कि यह लिखा जाने वाला लेखा कितना होगा।
P0003L54,"लिखने वाले उस परमात्मा में कितनी शक्ति होगी, उसका रूप कितना सुन्दर है।"
P0003L55,"उसकी कितनी दात है, ऐसा कौन है जो उसका सम्पूर्ण अनुमान लगा सकता है।"
P0003L56,अकाल पुरुष के मात्र एक शब्द से समस्त सृष्टि का प्रसार हुआ है।
P0003L57,"उस एक शब्द रूपी आदेश से ही सृष्टि में एक से अनेक जीव-जन्तु, तथा अन्य पदार्थों के प्रवाह चल पड़े हैं।"
P0003L58,इसलिए मुझ में इतनी बुद्धि कहाँ कि मैं उस अकथनीय प्रभु की समर्था का विचार कर सकूं।
P0003L59,हे अनन्त स्वरूप ! मैं तुझ पर एक बार भी कुर्बान होने के लायक नहीं हूँ।
P0003L60,जो तुझे भला लगता है वही कार्य श्रेष्ठ है।
P0003L61,हे निरंकार ! हे पारब्रह्म ! तू सदा शाश्वत रूप हैं ॥ १६॥
P0003L62,"इस सृष्टि में असंख्य लोग उस सृजनहार का जाप करते हैं, असंख्य ही उसको प्रीत करने वाले हैं।"
P0003L63,"असंख्य उसकी अर्चना करते हैं, असंख्य तपी तपस्या कर रहे है।"
P0003L64,असंख्य लोग धार्मिक ग्रंथों व वेदों आदि का मुंह द्वारा पाठ कर रहे हैं।
P0003L65,असंख्य ही योग-साधना में लीन रह कर मन को आसक्तियों से मुक्त रखते हैं।
P0004L01,असंख्य ऐसे भक्तजन हैं जो उस गुणी निरंकार के गुणों को विचार कर ज्ञान की उपलब्धि करते हैं।
P0004L02,असंख्य सत्य को जानने वाले अथवा परमार्थ-पथ पर चलने वाले तथा दानी सज्जन हैं।
P0004L03,असंख्य शूरवीर रणभूमि में शत्रु का सामना करते हुए शस्त्रों की मार सहते हैं।
P0004L04,असंख्य मानव जीव मौन धारण करके एकाग्रचित होकर उस अकाल-पुरुष में लिवलीन रहते हैं।
P0004L05,इसलिए मुझ में इतनी बुद्धि कहाँ कि मैं उस अकथनीय प्रभु की समर्था का विचार कर सकूं।
P0004L06,हे अनन्त स्वरूप ! मैं तुझ पर एक बार भी कुर्बान होने के लायक नहीं हूँ।
P0004L07,जो तुझे भला लगता है वही कार्य श्रेष्ठ है।
P0004L08,हे निरंकार ! हे पारब्रह्म ! तू सदा शाश्वत रूप हैं।॥ १७ ॥
P0004L09,इस सृष्टि में असंख्य मनुष्य विमूढ़ तथा गहन अज्ञानी हैं।
P0004L10,"असंख्य चोर तथा अभक्ष्य खाने वाले हैं, जो दूसरों का माल चुरा कर खाते हैं।"
P0004L11,असंख्य ही ऐसे हैं जो अन्य लोगों पर जब्र-जुल्म से अत्याचार का शासन करके इस संसार को त्याग जाते हैं।
P0004L12,असंख्य अधर्मी मनुष्य जो दूसरों का गला काट कर हत्या का पाप कमा रहे हैं।
P0004L13,असंख्य ही पापी इस संसार से पाप करते हुए चले जाते हैं।
P0004L14,असंख्य ही झूठा स्वभाव रखने वाले मिथ्या वचन बोलते फिरते हैं।
P0004L15,असंख्य मानव ऐसे हैं जो मलिन बुद्धि होने के कारण विष्टा का भोजन खाते हैं।
P0004L16,असंख्य लोग दूसरों की निन्दा करके अपने सिर पर पाप का बोझ रखते हैं।
P0004L17,श्री गुरु नानक देव जी स्वयं को निम्न कहते हुए फुरमाते हैं कि हमने तो कुकर्मी जीवों अर्थात् तामसी व आसुरी सम्पदा वाली सृष्टि का कथन किया है।
P0004L18,हे अनन्त स्वरूप ! मैं तुझ पर एक बार भी कुर्बान होने के लायक नहीं हूँ।
P0004L19,जो तुझे भला लगता है वही कार्य श्रेष्ठ है।
P0004L20,हे निरंकार ! हे पारब्रह्म ! तू सदा शाश्वत रूप हैं॥ १८॥
P0004L21,"उस सृजनहार की सृष्टि में असंख्य ही नाम तथा असंख्य ही स्थान वाले जीव विचरन कर रहे हैं; अथवा इस सृष्टि में अकाल-पुरुष के अनेकानेक नाम हैं तथा अनेकानेक ही स्थान हैं, जहाँ पर परमात्मा का वास रहता है।"
P0004L22,असंख्य ही अकल्पनीय लोक हैं।
P0004L23,किन्तु जो मनुष्य उसकी रचना का गणित करते हुए 'असंख्य' शब्द का प्रयोग करते हैं उनके सिर पर भी भार पड़ता है।
P0004L24,"शब्दों द्वारा ही उस निरंकार के नाम को जपा जा सकता है, शब्दों से ही उसका गुणगान किया जा सकता है।"
P0004L25,परमात्मा के गुणों का ज्ञान भी शब्दों द्वारा हो सकता है तथा उसकी प्रशंसा भी शब्दों द्वारा ही कही जा सकती है।
P0004L26,शब्दों द्वारा ही उसकी वाणी को लिखा व बोला जा सकता है।
P0004L27,शब्दों द्वारा मस्तिष्क पर लिखे गए कर्मों को बताया जा सकता है।
P0004L28,किन्तु जिस निरंकार ने यह कर्म लेख लिखे हैं उसके मस्तिष्क पर कोई कर्म-लेख नहीं है; अर्थात्-उसके कर्मों को न तो कोई कह सकता है और न उनका हिसाब रख सकता है।
P0004L29,"अकाल-पुरुष जिस प्रकार मनुष्य के कर्मों के अनुसार आदेश करता है, वैसे ही वह अपने कर्मों को भोगता है।"
P0004L30,"सृजनहार ने इस सृष्टि का जितना प्रसार किया है, वह समस्त नाम-रूप ही है।"
P0004L31,कोई भी स्थान उसके नाम से रिक्त नहीं है।
P0004L32,इसलिए मुझ में इतनी बुद्धि कहाँ कि मैं उस अकथनीय प्रभु की समर्था का विचार कर सकूं।
P0004L33,हे अनन्त स्वरूप ! मैं तुझ पर एक बार भी क़ुर्बान होने के लायक नहीं हूँ।
P0004L34,जो तुझे भला लगता है वही कार्य श्रेष्ठ है।
P0004L35,हे निरंकार ! हे पारब्रह्म ! तू सदा शाश्वत रूप हैं।॥ १९ ॥
P0004L36,"यदि यह शरीर, हाथ-पैर अथवा कोई अन्य अंग मलिन हो जाए"
P0004L37,तो पानी से धो लेने से उसकी गन्दगी व मिट्टी साफ हो जाती है।
P0004L38,यदि कोई वस्त्र पेशाब आदि से अपवित्र हो जाए
P0004L39,तो उसे साबुन के साथ धो लिया जाता है।
P0004L40,यदि मनुष्य की बुद्धि दुष्कर्मों के करने से मलिन हो जाए
P0004L41,तो वह वाहिगुरु के नाम का सिमरन करने से ही पवित्र हो सकती है।
P0004L42,पुण्य और पाप मात्र कहने को ही नहीं हैं।
P0004L43,"अपितु इस संसार में रहकर जैसे-जैसे कर्म किए जाएँगे वही धर्मराज द्वारा भेजे गए चित्र-गुप्त लिख कर ले जाएँगे ; अर्थात् मानव जीव द्वारा इस धरती पर किए जाने वाले प्रत्येक अच्छे व बुरे कर्मो का हिसाब उसके साथ ही जाएगा, जिसके फलानुसार उसे स्वर्ग अथवा नरक की प्राप्ति होगी। I"
P0004L44,सो मनुष्य स्वयं ही कर्म बीज बीजता है और स्वयं ही उसका फल प्राप्त करता है।
P0004L45,"गुरु नानक का कथन है की जीव इस संसार में अपने कर्मो का फल भोगने हेतु अकाल-पुरुष के आदेश से आता जाता रहेगा ; अर्थात् जीव के कर्म उसे आवागमन के चक्र में ही रखेंगे, निरंकार जीव के कर्मों के अनुसार ही उसके फल की आज्ञा करेगा II २० I"
