PID,Trans_Hindi_by_Sahib_Singh,Note_by_Sahib_Singh,Bhaav_by_Sahib_Singh,PadArath_by_Sahib_Singh,
P0001L11,अकाल पुरख के हुकम के अनुसार सारे शरीर बनते हैं~ (पर ये) हुकम कहा नहीं जा सकता कि कैसा है।,,,द्अर्थ: हुकमी = हुक्म में~ अकाल-पुरख के हुकम अनुसार। होवनि = होते हैं~ अस्तित्व में आते हैं~ बन जाते हैं। आकार = स्वरूप~ शक्लें~ शरीर। न कहिआ जाई = कथन नहीं किया जा सकता।,
P0001L12,ईश्वर के आदेश मुताबिक ही सारे जीव पैदा हो जाते हैं और आदेशानुसार ही (ईश्वर के दर पर) शोभा मिलती है।,,,पजीअ = जीव जन्तु। हुकमि = हुकम अनुसार। वडिआई = आदर~ शोभा।,
P0001L13,रॅब के हुकम में कोई मनुष्य अच्छा (बन जाता) है~ काई बुरा। उसके हुकम में ही (अपने किए कर्मों के) लिखे अनुसार दुख व सुख भोगते हैं।,,,उतमु = श्रेष्ठ~ बढ़िया। लिखि = लिख के~ लिखे अनुसार। पाईअहि = प्राप्त होते हैं~ भोगते हैं।,
P0001L14,हुकम में ही कई मनुष्यों पर (अकाल पुरख के दर से) कृपा होती है~ और उसके हुकम में ही कई मनुष्य नित्य जन्म-मरण के चक्कर में फसे रहते हैं।,,, इकना = कई मनुष्यों को। बखसीस = दात~ बख्शिश। इकि = एक मनुष्य। भवाईअहि = भ्रमित होते हैं~ जन्म-मृत्यु के चक्कर में पड़े रहते हैं।,
P0001L15,हरेक जीव ईश्वर के हुकम में ही है~ कोई जीव हुकम से बाहर नहीं हो सकता।,,,अंदरि = रॅब के हुकम में। सभु को = हर एक जीव। बाहरि हुकम = हुकम से बाहर। हकमै = हुकम को।,
P0001L16,हे नानक! अगर कोई मनुष्य अकाल पुरख के हुकम को समझ ले तो फिर वो स्वार्थ भरी बातें नहीं करता (अर्थात~ स्वार्थी जीवन छोड़ देता है)।2।,,भाव: प्रभू के हुकम का सही स्वरूप बयान नहीं किया जा सकता~ पर वह छोटे दायरे में नहीं है।,बुझै = समझ ले। हउमै कहै न = अहंकार भरे बोल नहीं बोलता~ मैं मैं नहीं कहता~ स्वार्थी नहीं बनता।,
P0001L17,जिस किसी मनुष्य की स्मर्था होती है~ वह ईश्वर की ताकत को गाता है~ (भाव~ उसकी सिफत-सलाह करता है और उसके उन कर्मों का कथन करता है जिनसे उनकी बड़ी ताकत प्रगट हो),,,को = कोई मनुष्य। ताणु = बल~ अकाल पुरख की ताकत। किसै = जिस किसी मनुष्य को। ताणु = समर्था।,
P0001L18,कोई मनुष्य उसकी दातों को ही गाता है~ (क्योंकि~ इन दातों को वह ईश्वर की कृपा का) निशान समझता है।,,,दाति = बख्शे हुए पदार्थ। नीसाणु = (कृपा का) निशान।,
P0001L19,कोई मनुष्य ईश्वर के सुन्दर गुण और अच्छी बढ़ाईयों का वर्णन करता है।,,,चार = सुंदर। शब्द ‘चार’ विशेषण है~ जो एकवचन पुलिंग के साथ ‘चारु’ हो जाता है और बहुवचन के साथ या स्त्रीलिंग के साथ ‘चार’ रहता है। पर शब्द ‘चारि’ ‘चहुँ’ (4) की गिनती का वाचक है। जैसे–1. चारि कुंट दह दिस भ्रमे~ थकि आए प्रभ की साम।2. चारि पदारथ कहै सभु कोई।3. चचा चरन कमल गुर लागा।धनि धनि उआ दिन संजोग सभागा।चारि कुंट दहदिस भ्रमि आइओ।भई क्रिपा तब दरसनु पाइओ।चार बिचार~ बिनसिओ सभ दूआ।साध संगि मनु निरमलु हूआ।4. तटि तीरथि नही मनु पतीआइ।चार अचार रहे उरझाइ।2।,
P0001L20,कोई मनुष्य विद्या के बल से अकाल पुरख के कठिन ज्ञान को गाता है (भाव~ शास्त्र आदि विद्या द्वारा आत्मिक फिलासफीजैसे मुश्किल विषयों पर विचार करता है)।,,,विदिआ = विद्या द्वारा। विखमु = कठिन~ मुष्किल। विचारु = ज्ञान।,
P0001L21,कोई मनुष्य ऐसे गाता है~ ‘अकाल पुरख शरीर को बना के फिर राख कर देता है।,,,साजि = पैदा करके~ बना के। तनु = शरीर को। खेह = स्वाह~ राख।,
P0001L22,कोई ऐसे गाता है~ ‘हरी (शरीरों में से) जान निकाल के फिर (दूसरे शरीरों में) डाल देता है’।,,,जीअ = जीवात्मा। लै = ले के। देह = दे देता है।नोट: ‘जीउ’ तथा ‘जीअ’ बहुवचन है।यहाँ शब्द ‘देह’ का ‘ह’ पहली तुक के ‘खेह’ के साथ मिलाने के वास्ते बरता गया है। वैसे शब्द ‘देह’ संज्ञा का अर्थ है ‘शरीर’~ जैसे कि ‘भरीअै हथु पैरु तनु देह’।शब्द ‘दे’~ ‘देहि’ और ‘देह’ को अच्छी तरह समझने के लिए जपु जी में से ही नीचे लिखीं तुकें दी जा रही हैं:देंदा दे लैदे थकि पाहि। पउड़ी३।आखहि मंगहि देहि देहि~ दाति करे दातारु।४।गुरा इक देहि बुझाई।५।नानक निरगुणि गुणु करे गुणवंतिआ गुण दे।७।भरीअै हथु पैरु तनु देह।२०।ले साबूणु लईअै ओहु धोइ।२०।आपे जाणै आपे देइ।२५।दे– देता है। दे–दे के।देइ–देता है। देइ–दे केदेह–शरीर। देहि–देह (हुकमी भविष्यत काल)।,
P0001L23,कोई मनुष्य कहता है~ ‘अकाल पुरख दूर प्रतीत होता है’;,,,जापै = प्रतीत होता है~ जापता है।,
P0002L01, पर कोई कहता है~ (नहीं नजदीक है)~ हर जगह हाजिर है~ सभी को देख रहा है’।,,, हादरा हदूरि = सब जगह हाजिर~ हाज़र नाज़र।,
P0002L02,"हुकम के वर्णन करने में कमीं नहीं आ सकी,",,,कथना = कहना~ बयान करना। कथना तोटि = कहने का अंत~ गुण वर्णन करने का अंत। कथि = कह के।,
P0002L03,(भले ही )करोड़ों जीवों ने बेअंत बार (अकाल पुरख के हुकम का) वर्णन किया है।  ,, (भाव~ वर्णन कर कर के हुकम का अंत नहीं पाया जा सका~ हुकम का सही स्वरूप नहीं ढूंढा जा सका), कथ कथ कथी = कह कह के कही है~ बेअंत बार प्रभू के हुकमों का वर्णन किया है। कोटि = करोड़ो जीवों ने।लफ्ज कोटि~ कोटु व कोट का निर्णय–कोटि– करोड़ (विशेषण),कोटि करम करै हउ धारे।स्रमु पावै सगले बिरथारे।3।12। (सुखमनी) कोटि खते खिन बखसनहार।3।30। (भैरउ म:५)कोटु– किला (संज्ञा एकवचन) लंका सा कोटु समुंद सी खाई। (आसा कबीर जी) एकु कोटि पंच सिकदारा (सूही कबीर जी) कोट– किले (संज्ञा~ बहुवचन) कंचन के कोट दतु करी बहु हैवर गैवर दानु। (सिरी राग म:१)
P0002L04,दातार अकाल पुरख (सभी जीवों को रिज़क) दे रहा है~ पर जीव लै लै के थक जाते हैं।,,,देदा = देंदा~ देने वाला~ दातार ईश्वर। दे = (सदा) देता है~ दे रहा है। लैदे = लैंदे~ लेने वाले जीव। थक पाहि = थक जाते हैं।,
P0002L05,(सभ जीव) सदा से ही (ईश्वर के दिए पदार्थ) खाते चले आ रहे हैं।,,, जुगा जुगंतरि = जुग जुग अंतर~ सारे युगों से~ सदा से ही। खाही खाहि = खाते ही खाते हैं~ इस्तेमाल करते आ रहे हैं।,
P0002L06,हुकम वाले रॅब का हुकम ही (संसार की कार वाला) रास्ता चला रहा है।,,,हुकमी = हुकम का मालिक अकाल-पुरख। हुकमी हुकमु = हुकम वाले ईश्वर का हरी का हुकम। राहु = रास्ता~ संसार की कार।,
P0002L07,हे नानक! वह निरंकार सदा बेपरवाह है~ प्रसंन्न है।,,(भाव~ हलांकि~ ईश्वर हर वक्त संसार के बेअंत जीवों को अतॅुट पदार्थ व रिज़क दे रहा है~ पर इतने बड़े कार्य में उसे कोई घबराहट/परेशानी नहीं हो रही। वह सदा ही प्रसंन्न अवस्था में है। उसे इतने बड़े पसारे में खचित नहीं होना पड़ता। उसकी एक हुकम रूप सक्ता ही सारे व्यवहार को निबाह रही है।) 3।भाव:  प्रभू के अलग अलग काम देख के मनुष्य अपनी अपनी समझ अनुसार प्रभू की हुकम रूप ताकत का अंदाजा लगाए चले आ रहे हैं~ पर किसी भी तरफ से मुकम्मल अंदाजा नहीं लग सका।,नानक = हे नानक। विगसै = खिल रहा है~ प्रसंन्न है। वेपरवाहु = बेफिक्र~ चिंता से रहित।3।,
P0002L08,अकाल पुरख सदा स्थिर रहने वाला ही है~ असका नियम भी सदा अटल है। उसकी बोली प्रेम है और वह अकाल-पुरख बेअंत है।,,,साचा = अस्तित्व वाला~ सदा स्थिर रहने वाला। साचु = सदा स्थिर रहने वाला। नाइ = न्याय~ इंसाफ~ संसार के कार्य को चलाने का नियम।भाखिआ– बोली। भाउ–प्रेम। अपार– पार से रहित~ बेअंत।,साचु नाइ– व्याकरण का नियम है कि किसी भी संज्ञा के विशेषण का वही ‘लिंग’ होता है~ जो उस ‘संज्ञा’ का है। ‘साचु नाइ’ वाली तुक में ‘साहिबु’ पुलिंग है~ इसलिए ‘साचा’ भी पुलिंग है। ‘साचु’ पुलिंग है~ सो~ जिस संज्ञा का यह विशेषण है~ वह भी पुल्रिंग ही चाहिए। जैसे कि ‘साहिबु’ है।शब्द ‘नाउ’ जब तक ‘कर्ताकारक’ या ‘कर्मकारक’ के साथ इस्त्रमाल होता है~ तब तक इसका स्वरूप यही रहता है~ जैसेकि~  ∙ अंम्रित वेला सचु नाउ वडिआई विचारु।4।  ∙ चंगा नाउ रखाइ कै जसु कीरति जगि लेइ।7।  ∙ जेता कीता तेता नाउ। (पउड़ी 19)  ∙ उचै ऊपरि ऊचा नाउ। (पउड़ी 24)यही ‘शब्द ‘नाउ’ जपु जी में एक बार और आया है~ पर वह ‘क्रिया’ है और उसका अर्थ है ‘स्नान करो’। जैसे कि;अंतरगति तीरथ मलि नाउ। (पउड़ी 21)शब्द ‘नाउ’ का बहुवचन जपु जी में दो बार आया है~ उसका रूप ‘नांव’ है~ जैसे;  ∙ असंख नाव असंख थाव। (पउड़ी 19)  ∙ जीअ जाति रंगा के नाव। (पउड़ी 16)जब शब्द ‘नाउ’ कर्ताकारक या कर्मकारक के बिना और किसी कारक में इस्तेमाल हो~ तो ‘नाउ’ की जगह ‘नाइ’ हो जाता है~ जैसे;नाइ तेरै तरणा नाइ पति पूज।नाउ तेरा गहणा मति मकसूद। (परभाती बिभास महला १)नाइ– नाम के द्वारा।पर ‘साचि नाइ’ वाला ‘नाइ’ कर्ताकारक ही हो सकता है~ क्योंकि इसका विशेषण ‘साचु’ भी कर्ताकारक है। ये ‘नाइ’ उपरोक्त प्रमाण वाले ‘नाइ’ से अलग है।जपुजी की पउड़ी ६ की पहिली तुकमें भी ‘नाइ’ शब्द मिलता है~ पर यहाँ ‘क्रिया’ है~ इसका अर्थ है ‘नहा के’। यो~ ये ‘नाइ’ भी ‘साचु नाइ’ वाला नहीं है। शब्द ‘नाई’ भी जपुजी में निम्नलिखित तुकों में इस्तेमाल किया गया है;  ∙ वडा साहिब~ वडी नाई~ कीता जा का होवै। (पउड़ी 21)  ∙ सोई सोई सदा सचु~ साहिब साचा~ साची नाई। (पउड़ी 27)यहां~ शब्द ‘नाई’ स्त्रीलिंग है। इसलिए ये शब्द भी ‘साचु नाइ’ से अलग है।हमने इस शब्द ‘नाइ’ का अर्थ ‘निआइ’ किया है। इसी तरह नीचे दी गयीं तुकों में भी ‘नाई’ से ‘निआई’ पाठ वाला अर्थ करना है। ‘बुत पूज पूज हिंदू मुए तुरक मूए सिरु नाई। (सोरठि कबीर जी) ‘नाई’ व ‘निआई’ का अर्थ है ‘नियाइ’ (झुकना?) आजकल की पंजाबी में भी ‘निआइ’~ ‘नीची जगह’ को कहा जाता है। सो~ जैसे इस प्रमाण में ‘नाई’ को ‘निआई’ समझ के अर्थ किया जाता है~ उसी प्रकार इस लफ्ज ‘नाइ’ को ‘निआइ’ (नियम) ही समझना है।
P0002L09,हम जीव उससे दातें मांगते हैं और कहते हैं~ ‘(हे हरि ! हमें दातें) दे’। वह दातार बख्शिशें करता है।,नोट: उसकी बोली प्रेम है। प्रेम ही एक तरीका है जिसके द्वारा वह हमसे बातें करता है~ हम उससे बातें कर सकते हैं।,,आखहि– हम कहते हैं। मंगहि– हम मांगते हैं। देहि देहि– (हे हरि !) हमें दे~ हम पे बख्शिश कर।,
P0002L10,(अगर सारी दातें वह बख्श रहा है तो) हम कौन सी भेटा उस अकाल-पुरख के आगे रखें~ जिस सदके हमें उसका दरबार दिख जाए?,,,फेरि = (अगर सारी दातें वह स्वयं ही कर रहा है) फिर। कि = कौन सी भेंट। अगै = रॅब के आगे। रखीअै = रखी जाए~ हम रखें। जितु = जिस भेटा के सदके। दिसै = दिख जाए।,
P0002L11,हम मुँह से कौन से वचन कहें कि (भाव~ कैसी अरदास करें कि) जिसे सुन के वह हरि (हमें) प्यार करे।,,,मुहौ = मुँह से। कि बोलणु = कौन सा वचन? जितु सुणि = जिस द्वारा सुनके। धरे = टिका दे~ करे। जितु = जिस बोल द्वारा।,
P0002L12,पूर्ण खिड़ाव का समय हो (भाव~ प्रभात का समय हो)~ नाम (सिमरें) तथा उसके बड़प्पन का विचार करें।,,,अंम्रित = कैवल्य~ निर्वाण~ मोक्ष~ पूर्ण खिलाव। अंम्रित वेला = अमृत की बेला~ पूर्ण खिड़ाव का समय~ वह समय जिस वक्त मानव मन आम तौर पे संसार के झमेलों से मुक्त होता है~ सुबह~ प्रभात। सचु = सदा स्थिर रहने वाला। नाउ = ईश्वर का नाम। वडिआई विचारु = ईश्वर के बड़प्पन की विचार।,
P0002L13,(इस तरह) प्रभू की मेहर से ‘सिफति’ रूप् पटोला मिलता है~ उसकी कृपा दृष्टि से ‘झूठ की दीवार’ से मुक्ति मिलती है तथा ईश्वर का दर प्राप्त हो जाता है।,,,करमी = प्रभू की मेहर/ करम से।,करम = बख्शिश~ मेहर।जैसे;  ∙ जेती सिरठि उपाई वेखा~ विणु करमा कि मिले लई। (पउड़ी 9)</br>
P0002L14,हे नानक! इस तरह ये समझ आ जाता है कि वह अस्तित्व का मालिक अकाल पुरख सर्व-व्यापक है।4।,,भाव:  दान-पुन्न करने या कोई धन-संपदा भेट करने से जीव की प्रभू से दूरी मिट नहीं सकती; क्योंकि ये दातें तो उस प्रभू की ही दी हुईं हैं। उस प्रभू से बातें उसकी अपनी बोली में ही हो सकती हैं~ और वह बोली है ‘प्रेम’। जो मनुष्य प्रभात के समय उठ के उसकी याद में जुड़ता है~ उसको ‘प्रेम पटोला’ मिलता है~ जिसकी बरकत से उसे हर जगह प्रमात्मा ही दिखाई देने लगता है।4।,जाणीअै = जान लेते हैं~ अनुभव कर लेते हैं। सभु = सब जगह। सचिआरु = अस्तित्व का घर~ हस्ती की मालिक।4।,
P0002L15,(अकाल पुरख) ना वह पैदा किया जा सकता है~ ना ही हमारे बनाए बनता है।,,,थापिआ ना जाइ = बनाया नहीं जा सकता~ स्थापित नहीं किया जा सकता। कीता न होइ = (हमारे) बनाए नहीं बनता। न होइ = अस्तित्व में नहीं आता।,संस्कृत धातु स्था का अर्थ है ‘खड़े होना’। इससे प्रेणार्थक धातु है ‘स्थापय’~ जिसका अर्थ है खड़ा करना~ नींव रखनी।इस प्रेणार्थक धातु से ‘संज्ञा’ बनी है स्थापन~ जिसका अर्थ है ‘पुंसवन संस्कार’। स्त्री के गर्भवती होने की जब पहिली निशानियां प्रगट होतीं हैं~ तो हिंदू घरों में ये संस्कार किया जाता है ता कि पुत्र का जन्म हो।स्थाप्य से पहले उद् लगाने से ये बन जाता है~ उत्थाप्य~ जिसका अर्थ उसके उलट है– उखाड़ना~ नाश करना। जैसे कि–आपे देखि दिखावै आपे। आपे थापि उथापे आपे। (म:१)
P0002L16,वह माया के प्रभाव से परे है (क्योंकि) वह पूर्णत: स्वयं ही स्वयं है~,,, आपे आपि = स्वयं ही~ भाव~ ना उसे कोई पैदा करने वाला और ना ही कोई बनाने वाला है। सोइ निरंजनु = अंजन से रहित वो हरि। निरंजन = अंजन से रहित~ माया से रहित~ जो माया से नहीं बना~ जिस में माया का अंश नहीं (निर+अंजन~ निर = बिना। अंजन = सुर्मा~ कालिख~ विकारों की अंश~ माया का प्रभाव नहीं है~ वह जिस पर माया का प्रभाव नहीं है।),
