PID,Gist_English_by_Sant_Singh
P0002L10,"So what offering can we place before Him, by which we might see the Darbaar of His Court?"
P0002L11,What words can we speak to evoke His Love?
P0002L12,"In the Amrit Vaylaa, the ambrosial hours before dawn, chant the True Name, and contemplate His Glorious Greatness."
P0002L13,"By the karma of past actions, the robe of this physical body is obtained. By His Grace, the Gate of Liberation is found."
P0002L14,"O Nanak, know this well: the True One Himself is All. ||4||"
P0002L15,"He cannot be established, He cannot be created."
P0002L16,He Himself is Immaculate and Pure.
P0002L17,Those who serve Him are honored.
P0002L18,"O Nanak, sing of the Lord, the Treasure of Excellence."
P0002L19,"Sing, and listen, and let your mind be filled with love."
P0002L20,"Your pain shall be sent far away, and peace shall come to your home."
P0002L21,The Guru's Word is the Sound-current of the Naad; the Guru's Word is the Wisdom of the Vedas; the Guru's Word is all-pervading.
P0002L22,"The Guru is Shiva, the Guru is Vishnu and Brahma; the Guru is Paarvati and Lakhshmi."
P0002L23,"Even knowing God, I cannot describe Him; He cannot be described in words."
P0002L24,The Guru has given me this one understanding:
P0002L25,"There is only the One, the Giver of all souls. May I never forget Him! ||5||"
P0002L26,"If I am pleasing to Him, then that is my pilgrimage and cleansing bath. Without pleasing Him, what good are ritual cleansings?"
P0002L27,"I gaze upon all the created beings: without the karma of good actions, what are they given to receive?"
P0002L28,"Within the mind are gems, jewels and rubies, if you listen to the Guru's Teachings, even once."
P0002L29,The Guru has given me this one understanding:
P0002L30,"There is only the One, the Giver of all souls. May I never forget Him! ||6||"
P0002L31,"Even if you could live throughout the four ages, or even ten times more,"
P0002L32,"And even if you were known throughout the nine continents and followed by all,"
P0002L33,"With a good name and reputation, with praise and fame throughout the world-"
P0002L34,"Still, if the Lord does not bless you with His Glance of Grace, then who cares? What is the use?"
P0002L35,"Among worms, you would be considered a lowly worm, and even contemptible sinners would hold you in contempt."
P0002L36,"O Nanak, God blesses the unworthy with virtue, and bestows virtue on the virtuous."
P0002L37,No one can even imagine anyone who can bestow virtue upon Him. ||7||
P0002L38,"Listening-the Siddhas, the spiritual teachers, the heroic warriors, the yogic masters."
P0002L39,"Listening-the earth, its support and the Akaashic ethers."
P0002L40,"Listening-the oceans, the lands of the world and the nether regions of the underworld."
P0002L41,Listening-Death cannot even touch you.
P0002L42,"O Nanak, the devotees are forever in bliss."
P0002L43,Listening-pain and sin are erased. ||8||
P0002L44,"Listening-Shiva, Brahma and Indra."
P0002L45,Listening-even foul-mouthed people praise Him.
P0002L46,Listening-the technology of Yoga and the secrets of the body.
P0002L47,"Listening-the Shaastras, the Simritees and the Vedas."
P0002L48,"O Nanak, the devotees are forever in bliss."
P0003L01,Listening-pain and sin are erased. ||9||
P0003L02,"Listening-truth, contentment and spiritual wisdom."
P0003L03,Listening-take your cleansing bath at the sixty-eight places of pilgrimage.
P0003L04,"Listening-reading and reciting, honor is obtained."
P0003L05,Listening-intuitively grasp the essence of meditation.
P0003L06,"O Nanak, the devotees are forever in bliss."
P0003L07,Listening-pain and sin are erased. ||10||
P0003L08,Listening-dive deep into the ocean of virtue.
P0003L09,"Listening-the Shaykhs, religious scholars, spiritual teachers and emperors."
P0003L10,Listening-even the blind find the Path.
P0003L11,Listening-the Unreachable comes within your grasp.
P0003L12,"O Nanak, the devotees are forever in bliss."
P0003L13,Listening-pain and sin are erased. ||11||
P0003L14,The state of the faithful cannot be described.
P0003L15,One who tries to describe this shall regret the attempt.
P0003L16,"No paper, no pen, no scribe"
P0003L17,Can record the state of the faithful.
P0003L18,Such is the Name of the Immaculate Lord.
P0003L19,Only one who has faith comes to know such a state of mind. ||12||
P0003L20,The faithful have intuitive awareness and intelligence.
P0003L21,The faithful know about all worlds and realms.
P0003L22,The faithful shall never be struck across the face.
P0003L23,The faithful do not have to go with the Messenger of Death.
P0003L24,Such is the Name of the Immaculate Lord.
P0003L25,Only one who has faith comes to know such a state of mind. ||13||
P0003L26,The path of the faithful shall never be blocked.
P0003L27,The faithful shall depart with honor and fame.
P0003L28,The faithful do not follow empty religious rituals.
P0003L29,The faithful are firmly bound to the Dharma.
P0003L30,Such is the Name of the Immaculate Lord.
P0003L31,Only one who has faith comes to know such a state of mind. ||14||
P0003L32,The faithful find the Door of Liberation.
P0003L33,The faithful uplift and redeem their family and relations.
P0003L34,"The faithful are saved, and carried across with the Sikhs of the Guru."
P0003L35,"The faithful, O Nanak, do not wander around begging."
P0003L36,Such is the Name of the Immaculate Lord.
P0003L37,Only one who has faith comes to know such a state of mind. ||15||
P0003L38,"The chosen ones, the self-elect, are accepted and approved."
P0003L39,The chosen ones are honored in the Court of the Lord.
P0003L40,The chosen ones look beautiful in the courts of kings.
P0003L41,The chosen ones meditate single-mindedly on the Guru.
P0003L42,"No matter how much anyone tries to explain and describe them,"
P0003L43,The actions of the Creator cannot be counted.
P0003L44,"The mythical bull is Dharma, the son of compassion;"
P0003L45,This is what patiently holds the earth in its place.
P0003L46,One who understands this becomes truthful.
P0003L47,What a great load there is on the bull!
P0003L48,So many worlds beyond this world-so very many!
P0003L49,"What power holds them, and supports their weight?"
P0003L50,The names and the colors of the assorted species of beings
P0003L51,Were all inscribed by the Ever-flowing Pen of God.
P0003L52,Who knows how to write this account?
P0003L53,Just imagine what a huge scroll it would take!
P0003L54,What power! What fascinating beauty!
P0003L55,And what gifts! Who can know their extent?
P0003L56,You created the vast expanse of the Universe with One Word!
P0003L57,Hundreds of thousands of rivers began to flow.
P0003L58,How can Your Creative Potency be described?
P0003L59,I cannot even once be a sacrifice to You.
P0003L60,"Whatever pleases You is the only good done,"
P0003L61,"You, Eternal and Formless One! ||16||"
P0003L62,"Countless meditations, countless loves."
P0003L63,"Countless worship services, countless austere disciplines."
P0003L64,"Countless scriptures, and ritual recitations of the Vedas."
P0003L65,"Countless Yogis, whose minds remain detached from the world."
P0004L01,Countless devotees contemplate the Wisdom and Virtues of the Lord.
P0004L02,"Countless the holy, countless the givers."
P0004L03,"Countless heroic spiritual warriors, who bear the brunt of the attack in battle (who with their mouths eat steel)."
P0004L04,"Countless silent sages, vibrating the String of His Love."
P0004L05,How can Your Creative Potency be described?
P0004L06,I cannot even once be a sacrifice to You.
P0004L07,"Whatever pleases You is the only good done,"
P0004L08,"You, Eternal and Formless One. ||17||"
P0004L09,"Countless fools, blinded by ignorance."
P0004L10,Countless thieves and embezzlers.
P0004L11,Countless impose their will by force.
P0004L12,Countless cut-throats and ruthless killers.
P0004L13,Countless sinners who keep on sinning.
P0004L14,"Countless liars, wandering lost in their lies."
P0004L15,"Countless wretches, eating filth as their ration."
P0004L16,"Countless slanderers, carrying the weight of their stupid mistakes on their heads."
P0004L17,Nanak describes the state of the lowly.
P0004L18,I cannot even once be a sacrifice to You.
P0004L19,"Whatever pleases You is the only good done,"
P0004L20,"You, Eternal and Formless One. ||18||"
P0004L21,"Countless names, countless places."
P0004L22,"Inaccessible, unapproachable, countless celestial realms."
P0004L23,Even to call them countless is to carry the weight on your head.
P0004L24,"From the Word, comes the Naam; from the Word, comes Your Praise."
P0004L25,"From the Word, comes spiritual wisdom, singing the Songs of Your Glory."
P0004L26,"From the Word, come the written and spoken words and hymns."
P0004L27,"From the Word, comes destiny, written on one's forehead."
P0004L28,But the One who wrote these Words of Destiny-no words are written on His Forehead.
P0004L29,"As He ordains, so do we receive."
P0004L30,The created universe is the manifestation of Your Name.
P0004L31,"Without Your Name, there is no place at all."
P0004L32,How can I describe Your Creative Power?
P0004L33,I cannot even once be a sacrifice to You.
P0004L34,"Whatever pleases You is the only good done,"
P0004L35,"You, Eternal and Formless One. ||19||"
P0004L36,"When the hands and the feet and the body are dirty,"
P0004L37,Water can wash away the dirt.
P0004L38,"When the clothes are soiled and stained by urine,"
P0004L39,Soap can wash them clean.
P0004L40,"But when the intellect is stained and polluted by sin,"
P0004L41,It can only be cleansed by the Love of the Name.
P0004L42,Virtue and vice do not come by mere words;
P0004L43,"Actions repeated, over and over again, are engraved on the soul."
P0004L44,You shall harvest what you plant.
P0004L45,"O Nanak, by the Hukam of God's Command, we come and go in reincarnation. ||20||"
P0004L46,"Pilgrimages, austere discipline, compassion and charity"
P0004L47,"These, by themselves, bring only an iota of merit."
P0004L48,"Listening and believing with love and humility in your mind,"
P0004L49,"Cleanse yourself with the Name, at the sacred shrine deep within."
P0004L50,"All virtues are Yours, Lord, I have none at all."
P0004L51,"Without virtue, there is no devotional worship."
P0004L52,"I bow to the Lord of the World, to His Word, to Brahma the Creator."
P0004L53,"He is Beautiful, True and Eternally Joyful."
P0004L54,"What was that time, and what was that moment? What was that day, and what was that date?"
P0004L55,"What was that season, and what was that month, when the Universe was created?"
P0004L56,"The Pandits, the religious scholars, cannot find that time, even if it is written in the Puraanas."
P0004L57,"That time is not known to the Qazis, who study the Koran."
P0004L58,"The day and the date are not known to the Yogis, nor is the month or the season."
P0004L59,The Creator who created this creation-only He Himself knows.
P0004L60,How can we speak of Him? How can we praise Him? How can we describe Him? How can we know Him?
P0005L01,"O Nanak, everyone speaks of Him, each one wiser than the rest."
P0005L02,"Great is the Master, Great is His Name. Whatever happens is according to His Will."
P0005L03,"O Nanak, one who claims to know everything shall not be decorated in the world hereafter. ||21||"
P0005L04,"There are nether worlds beneath nether worlds, and hundreds of thousands of heavenly worlds above."
P0005L05,"The Vedas say that you can search and search for them all, until you grow weary."
P0005L06,"The scriptures say that there are 18,000 worlds, but in reality, there is only One Universe."
P0005L07,"If you try to write an account of this, you will surely finish yourself before you finish writing it."
P0005L08,"O Nanak, call Him Great! He Himself knows Himself. ||22||"
P0005L09,"The praisers praise the Lord, but they do not obtain intuitive understanding"
P0005L10,The streams and rivers flowing into the ocean do not know its vastness.
P0005L11,"Even kings and emperors, with mountains of property and oceans of wealth"
P0005L12,"-these are not even equal to an ant, who does not forget God. ||23||"
P0005L13,"Endless are His Praises, endless are those who speak them."
P0005L14,"Endless are His Actions, endless are His Gifts."
P0005L15,"Endless is His Vision, endless is His Hearing."
P0005L16,His limits cannot be perceived. What is the Mystery of His Mind?
P0005L17,The limits of the created universe cannot be perceived.
P0005L18,Its limits here and beyond cannot be perceived.
P0005L19,"Many struggle to know His limits,"
P0005L20,But His limits cannot be found.
P0005L21,No one can know these limits.
P0005L22,"The more you say about them, the more there still remains to be said."
P0005L23,"Great is the Master, High is His Heavenly Home."
P0005L24,"Highest of the High, above all is His Name."
P0005L25,Only one as Great and as High as God
P0005L26,Can know His Lofty and Exalted State.
P0005L27,Only He Himself is that Great. He Himself knows Himself.
P0005L28,"O Nanak, by His Glance of Grace, He bestows His Blessings. ||24||"
P0005L29,His Blessings are so abundant that there can be no written account of them.
P0005L30,The Great Giver does not hold back anything.
P0005L31,"There are so many great, heroic warriors begging at the Door of the Infinite Lord."
P0005L32,"So many contemplate and dwell upon Him, that they cannot be counted."
P0005L33,So many waste away to death engaged in corruption.
P0005L34,"So many take and take again, and then deny receiving."
P0005L35,So many foolish consumers keep on consuming.
P0005L36,"So many endure distress, deprivation and constant abuse."
P0005L37,"Even these are Your Gifts, O Great Giver!"
P0005L38,Liberation from bondage comes only by Your Will.
P0005L39,No one else has any say in this.
P0005L40,"If some fool should presume to say that he does,"
P0005L41,"He shall learn, and feel the effects of his folly."
P0005L42,"He Himself knows, He Himself gives."
P0005L43,"Few, very few are those who acknowledge this."
P0005L44,"One who is blessed to sing the Praises of the Lord,"
P0005L45,"O Nanak, is the king of kings. ||25||"
P0005L46,"Priceless are His Virtues, Priceless are His Dealings."
P0005L47,"Priceless are His Dealers, Priceless are His Treasures."
P0005L48,"Priceless are those who come to Him, Priceless are those who buy from Him."
P0005L49,"Priceless is Love for Him, Priceless is absorption into Him."
P0005L50,"Priceless is the Divine Law of Dharma, Priceless is the Divine Court of Justice."
P0005L51,"Priceless are the scales, priceless are the weights."
P0005L52,"Priceless are His Blessings, Priceless is His Banner and Insignia."
P0005L53,"Priceless is His Mercy, Priceless is His Royal Command."
P0005L54,"Priceless, O Priceless beyond expression!"
P0005L55,"Speak of Him continually, and remain absorbed in His Love."
P0005L56,The Vedas and the Puraanas speak.
P0005L57,The scholars speak and lecture.
P0005L58,"Brahma speaks, Indra speaks."
P0006L01,The Gopis and Krishna speak.
P0006L02,"Shiva speaks, the Siddhas speak."
P0006L03,The many created Buddhas speak.
P0006L04,"The demons speak, the demi-gods speak."
P0006L05,"The spiritual warriors, the heavenly beings, the silent sages, the humble and serviceful speak."
P0006L06,Many speak and try to describe Him.
P0006L07,"Many have spoken of Him over and over again, and have then arisen and departed."
P0006L08,"If He were to create as many again as there already are,"
P0006L09,"Even then, they could not describe Him."
P0006L10,He is as Great as He wishes to be.
P0006L11,"O Nanak, the True Lord knows."
P0006L12,"If anyone presumes to describe God,"
P0006L13,He shall be known as the greatest fool of fools! ||26||
P0006L14,"Where is that Gate, and where is that Dwelling, in which You sit and take care of all?"
P0006L15,"The Sound-current of the Naad vibrates there, and countless musicians play on all sorts of instruments there."
P0006L16,"So many Ragas, so many musicians singing there."
P0006L17,"The praanic wind, water and fire sing; the Righteous Judge of Dharma sings at Your Door."
P0006L18,"Chitr and Gupt, the angels of the conscious and the subconscious who record actions, and the Righteous Judge of Dharma who judges this record sing."
P0006L19,"Shiva, Brahma and the Goddess of Beauty, ever adorned, sing."
P0006L20,"Indra, seated upon His Throne, sings with the deities at Your Door."
P0006L21,The Siddhas in Samaadhi sing; the Saadhus sing in contemplation.
P0006L22,"The celibates, the fanatics, the peacefully accepting and the fearless warriors sing."
P0006L23,"The Pandits, the religious scholars who recite the Vedas, with the supreme sages of all the ages, sing."
P0006L24,"The Mohinis, the enchanting heavenly beauties who entice hearts in this world, in paradise, and in the underworld of the subconscious sing."
P0006L25,"The celestial jewels created by You, and the sixty-eight holy places of pilgrimage sing."
P0006L26,The brave and mighty warriors sing; the spiritual heroes and the four sources of creation sing.
P0006L27,"The planets, solar systems and galaxies, created and arranged by Your Hand, sing."
P0006L28,"They alone sing, who are pleasing to Your Will. Your devotees are imbued with the Nectar of Your Essence."
P0006L29,"So many others sing, they do not come to mind. O Nanak, how can I consider them all?"
P0006L30,"That True Lord is True, Forever True, and True is His Name."
P0006L31,"He is, and shall always be. He shall not depart, even when this Universe which He has created departs."
P0006L32,"He created the world, with its various colors, species of beings, and the variety of Maya."
P0006L33,"Having created the creation, He watches over it Himself, by His Greatness."
P0006L34,He does whatever He pleases. No order can be issued to Him.
P0006L35,"He is the King, the King of kings, the Supreme Lord and Master of kings. Nanak remains subject to His Will. ||27||"
P0006L36,"Make contentment your ear-rings, humility your begging bowl, and meditation the ashes you apply to your body."
P0006L37,"Let the remembrance of death be the patched coat you wear, let the purity of virginity be your way in the world, and let faith in the Lord be your walking stick."
P0006L38,"See the brotherhood of all mankind as the highest order of Yogis; conquer your own mind, and conquer the world."
P0006L39,"I bow to Him, I humbly bow."
P0006L40,"The Primal One, the Pure Light, without beginning, without end. Throughout all the ages, He is One and the Same. ||28||"
P0006L41,"Let spiritual wisdom be your food, and compassion your attendant. The Sound-current of the Naad vibrates in each and every heart."
P0006L42,"He Himself is the Supreme Master of all; wealth and miraculous spiritual powers, and all other external tastes and pleasures, are all like beads on a string."
P0006L43,"Union with Him, and separation from Him, come by His Will. We come to receive what is written in our destiny."
P0007L01,"I bow to Him, I humbly bow."
P0007L02,"The Primal One, the Pure Light, without beginning, without end. Throughout all the ages, He is One and the Same. ||29||"
P0007L03,The One Divine Mother conceived and gave birth to the three deities.
P0007L04,"One, the Creator of the World; One, the Sustainer; and One, the Destroyer."
P0007L05,He makes things happen according to the Pleasure of His Will. Such is His Celestial Order.
P0007L06,"He watches over all, but none see Him. How wonderful this is!"
P0007L07,"I bow to Him, I humbly bow."
P0007L08,"The Primal One, the Pure Light, without beginning, without end. Throughout all the ages, He is One and the Same. ||30||"
P0007L09,On world after world are His Seats of Authority and His Storehouses.
P0007L10,"Whatever was put into them, was put there once and for all."
P0007L11,"Having created the creation, the Creator Lord watches over it."
P0007L12,"O Nanak, True is the Creation of the True Lord."
P0007L13,"I bow to Him, I humbly bow."
P0007L14,"The Primal One, the Pure Light, without beginning, without end. Throughout all the ages, He is One and the Same. ||31||"
P0007L15,"If I had 100,000 tongues, and these were then multiplied twenty times more, with each tongue,"
P0007L16,"I would repeat, hundreds of thousands of times, the Name of the One, the Lord of the Universe."
P0007L17,"Along this path to our Husband Lord, we climb the steps of the ladder, and come to merge with Him."
P0007L18,"Hearing of the etheric realms, even worms long to come back home."
P0007L19,"O Nanak, by His Grace He is obtained. False are the boastings of the false. ||32||"
P0007L20,"No power to speak, no power to keep silent."
P0007L21,"No power to beg, no power to give."
P0007L22,"No power to live, no power to die."
P0007L23,"No power to rule, with wealth and occult mental powers."
P0007L24,"No power to gain intuitive understanding, spiritual wisdom and meditation."
P0007L25,No power to find the way to escape from the world.
P0007L26,He alone has the Power in His Hands. He watches over all.
P0007L27,"O Nanak, no one is high or low. ||33||"
P0007L28,"Nights, days, weeks and seasons;"
P0007L29,"Wind, water, fire and the nether regions"
P0007L30,"In the midst of these, He established the earth as a home for Dharma."
P0007L31,"Upon it, He placed the various species of beings."
P0007L32,Their names are uncounted and endless.
P0007L33,"By their deeds and their actions, they shall be judged."
P0007L34,"God Himself is True, and True is His Court."
P0007L35,"There, in perfect grace and ease, sit the self-elect, the self-realized Saints."
P0007L36,They receive the Mark of Grace from the Merciful Lord.
P0007L37,"The ripe and the unripe, the good and the bad, shall there be judged."
P0007L38,"O Nanak, when you go home, you will see this. ||34||"
P0007L39,This is righteous living in the realm of Dharma.
P0007L40,And now we speak of the realm of spiritual wisdom.
P0007L41,"So many winds, waters and fires; so many Krishnas and Shivas."
P0007L42,"So many Brahmas, fashioning forms of great beauty, adorned and dressed in many colors."
P0007L43,So many worlds and lands for working out karma. So very many lessons to be learned!
P0007L44,"So many Indras, so many moons and suns, so many worlds and lands."
P0007L45,"So many Siddhas and Buddhas, so many Yogic masters. So many goddesses of various kinds."
P0007L46,"So many demi-gods and demons, so many silent sages. So many oceans of jewels."
P0007L47,"So many ways of life, so many languages. So many dynasties of rulers."
P0007L48,"So many intuitive people, so many selfless servants. O Nanak, His limit has no limit! ||35||"
P0007L49,"In the realm of wisdom, spiritual wisdom reigns supreme."
P0007L50,"The Sound-current of the Naad vibrates there, amidst the sounds and the sights of bliss."
P0008L01,"In the realm of humility, the Word is Beauty."
P0008L02,Forms of incomparable beauty are fashioned there.
P0008L03,These things cannot be described.
P0008L04,One who tries to speak of these shall regret the attempt.
P0008L05,"The intuitive consciousness, intellect and understanding of the mind are shaped there."
P0008L06,"The consciousness of the spiritual warriors and the Siddhas, the beings of spiritual perfection, are shaped there. ||36||"
P0008L07,"In the realm of karma, the Word is Power."
P0008L08,"No one else dwells there,"
P0008L09,"Except the warriors of great power, the spiritual heroes."
P0008L10,"They are totally fulfilled, imbued with the Lord's Essence."
P0008L11,"Myriads of Sitas are there, cool and calm in their majestic glory."
P0008L12,Their beauty cannot be described.
P0008L13,"Neither death nor deception comes to those,"
P0008L14,Within whose minds the Lord abides.
P0008L15,The devotees of many worlds dwell there.
P0008L16,They celebrate; their minds are imbued with the True Lord.
P0008L17,"In the realm of Truth, the Formless Lord abides."
P0008L18,"Having created the creation, He watches over it. By His Glance of Grace, He bestows happiness."
P0008L19,"There are planets, solar systems and galaxies."
P0008L20,"If one speaks of them, there is no limit, no end."
P0008L21,There are worlds upon worlds of His Creation.
P0008L22,"As He commands, so they exist."
P0008L23,"He watches over all, and contemplating the creation, He rejoices."
P0008L24,"O Nanak, to describe this is as hard as steel! ||37||"
P0008L25,"Let self-control be the furnace, and patience the goldsmith."
P0008L26,"Let understanding be the anvil, and spiritual wisdom the tools."
P0008L27,"With the Fear of God as the bellows, fan the flames of tapa, the body's inner heat."
P0008L28,"In the crucible of love, melt the Nectar of the Name,"
P0008L29,"And mint the True Coin of the Shabad, the Word of God."
P0008L30,Such is the karma of those upon whom He has cast His Glance of Grace.
P0008L31,"O Nanak, the Merciful Lord, by His Grace, uplifts and exalts them. ||38||"
P0008L32,Shalok:
P0008L33,"Air is the Guru, Water is the Father, and Earth is the Great Mother of all."
P0008L34,"Day and night are the two nurses, in whose lap all the world is at play."
P0008L35,Good deeds and bad deeds-the record is read out in the Presence of the Lord of Dharma.
P0008L36,"According to their own actions, some are drawn closer, and some are driven farther away."
P0008L37,"Those who have meditated on the Naam, the Name of the Lord, and departed after having worked by the sweat of their brows"
P0008L38,"-O Nanak, their faces are radiant in the Court of the Lord, and many are saved along with them! ||1||"
P0008L39,"So Dar ~ That Door. Raag Aasaa, First Mehl:"
P0008L40,One Universal Creator God. By The Grace Of The True Guru:
P0008L41,"Where is That Door of Yours, and where is That Home, in which You sit and take care of all?"
P0008L42,"The Sound-current of the Naad vibrates there for You, and countless musicians play all sorts of instruments there for You."
P0008L43,There are so many Ragas and musical harmonies to You; so many minstrels sing hymns of You.
P0008L44,"Wind, water and fire sing of You. The Righteous Judge of Dharma sings at Your Door."
P0008L45,"Chitr and Gupt, the angels of the conscious and the subconscious who keep the record of actions, and the Righteous Judge of Dharma who reads this record, sing of You."
P0008L46,"Shiva, Brahma and the Goddess of Beauty, ever adorned by You, sing of You."
P0008L47,"Indra, seated on His Throne, sings of You, with the deities at Your Door."
P0008L48,The Siddhas in Samaadhi sing of You; the Saadhus sing of You in contemplation.
P0009L01,"The celibates, the fanatics, and the peacefully accepting sing of You; the fearless warriors sing of You."
P0009L02,"The Pandits, the religious scholars who recite the Vedas, with the supreme sages of all the ages, sing of You."
P0009L03,"The Mohinis, the enchanting heavenly beauties who entice hearts in paradise, in this world, and in the underworld of the subconscious, sing of You."
P0009L04,"The celestial jewels created by You, and the sixty-eight sacred shrines of pilgrimage, sing of You."
P0009L05,The brave and mighty warriors sing of You. The spiritual heroes and the four sources of creation sing of You.
P0009L06,"The worlds, solar systems and galaxies, created and arranged by Your Hand, sing of You."
P0009L07,"They alone sing of You, who are pleasing to Your Will. Your devotees are imbued with Your Sublime Essence."
P0009L08,"So many others sing of You, they do not come to mind. O Nanak, how can I think of them all?"
P0009L09,"That True Lord is True, forever True, and True is His Name."
P0009L10,"He is, and shall always be. He shall not depart, even when this Universe which He has created departs."
P0009L11,"He created the world, with its various colors, species of beings, and the variety of Maya."
P0009L12,"Having created the creation, He watches over it Himself, by His Greatness."
P0009L13,He does whatever He pleases. No one can issue any order to Him.
P0009L14,"He is the King, the King of kings, the Supreme Lord and Master of kings. Nanak remains subject to His Will. ||1||"
P0009L15,"Aasaa, First Mehl:"
P0009L16,"Hearing of His Greatness, everyone calls Him Great."
P0009L17,But just how Great His Greatness is-this is known only to those who have seen Him.
P0009L18,His Value cannot be estimated; He cannot be described.
P0009L19,"Those who describe You, Lord, remain immersed and absorbed in You. ||1||"
P0009L20,"O my Great Lord and Master of Unfathomable Depth, You are the Ocean of Excellence."
P0009L21,No one knows the extent or the vastness of Your Expanse. ||1||Pause||
P0009L22,All the intuitives met and practiced intuitive meditation.
P0009L23,All the appraisers met and made the appraisal.
P0009L24,"The spiritual teachers, the teachers of meditation, and the teachers of teachers"
P0009L25,-they cannot describe even an iota of Your Greatness. ||2||
P0009L26,"All Truth, all austere discipline, all goodness,"
P0009L27,All the great miraculous spiritual powers of the Siddhas
P0009L28,"Without You, no one has attained such powers."
P0009L29,They are received only by Your Grace. No one can block them or stop their flow. ||3||
P0009L30,What can the poor helpless creatures do?
P0009L31,Your Praises are overflowing with Your Treasures.
P0009L32,"Those, unto whom You give-how can they think of any other?"
P0009L33,"O Nanak, the True One embellishes and exalts. ||4||2||"
P0009L34,"Aasaa, First Mehl:"
P0009L35,"Chanting it, I live; forgetting it, I die."
P0009L36,It is so difficult to chant the True Name.
P0009L37,"If someone feels hunger for the True Name,"
P0009L38,That hunger shall consume his pain. ||1||
P0009L39,"How can I forget Him, O my mother?"
P0009L40,"True is the Master, True is His Name. ||1||Pause||"
P0009L41,"Trying to describe even an iota of the Greatness of the True Name,"
P0009L42,"People have grown weary, but they have not been able to evaluate it."
P0009L43,"Even if everyone were to gather together and speak of Him,"
P0009L44,He would not become any greater or any lesser. ||2||
P0009L45,That Lord does not die; there is no reason to mourn.
P0009L46,"He continues to give, and His Provisions never run short."
P0009L47,This Virtue is His alone; there is no other like Him.
P0009L48,"There never has been, and there never will be. ||3||"
P0009L49,"As Great as You Yourself are, O Lord, so Great are Your Gifts."
P0010L01,The One who created the day also created the night.
P0010L02,Those who forget their Lord and Master are vile and despicable.
P0010L03,"O Nanak, without the Name, they are wretched outcasts. ||4||3||"
P0010L04,"Raag Goojaree, Fourth Mehl:"
P0010L05,"O humble servant of the Lord, O True Guru, O True Primal Being: I offer my humble prayer to You, O Guru."
P0010L06,"I am a mere insect, a worm. O True Guru, I seek Your Sanctuary. Please be merciful, and bless me with the Light of the Naam, the Name of the Lord. ||1||"
P0010L07,"O my Best Friend, O Divine Guru, please enlighten me with the Name of the Lord."
P0010L08,"Through the Guru's Teachings, the Naam is my breath of life. The Kirtan of the Lord's Praise is my life's occupation. ||1||Pause||"
P0010L09,"The servants of the Lord have the greatest good fortune; they have faith in the Lord, and a longing for the Lord."
P0010L10,"Obtaining the Name of the Lord, Har, Har, they are satisfied; joining the Sangat, the Blessed Congregation, their virtues shine forth. ||2||"
P0010L11,"Those who have not obtained the Sublime Essence of the Name of the Lord, Har, Har, Har, are most unfortunate; they are led away by the Messenger of Death."
P0010L12,"Those who have not sought the Sanctuary of the True Guru and the Sangat, the Holy Congregation-cursed are their lives, and cursed are their hopes of life. ||3||"
P0010L13,"Those humble servants of the Lord who have attained the Company of the True Guru, have such pre-ordained destiny inscribed on their foreheads."
